Temperature,ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability,Chloride,Nitrate
26.0, 3.7, 129.4, 18630.0, 6.6, 285.2, 592.8, 15.1, 56.3, 4.5, 0, 55.0, 4
24.0, 8.0, 224.2, 19909.5, 9.2, 337.6, 418.6, 16.8, 66.4, 3.0, 0, 45.0, 2
27.0, 8.3, 214.3, 22018.4, 8.0, 356.8, 363.2, 18.4, 100.3, 4.6, 0, 60.0, 3
28.0, 9.0, 181.1, 17978.9, 6.5, 310.1, 398.4, 11.5, 31.9, 4.0, 0, 53.0, 0
23.0, 5.5, 188.3, 28748.6, 7.5, 326.6, 280.4, 8.3, 54.9, 2.5, 0, 52.0, 2
26.5, 10.2, 248.0, 28749.7, 7.5, 393.6, 283.6, 13.7, 84.6, 2.6, 0, 57.0, 3
24.5, 8.6, 203.3, 13672.0, 4.5, 303.3, 474.6, 12.3, 62.7, 4.4, 0, 49.0, 4
29.0, 7.4, 118.9, 14285.5, 7.8, 268.6, 389.3, 12.7, 53.9, 3.5, 0, 62.0, 1
25.5, 11.1, 227.2, 25484.5, 9.0, 404.0, 563.8, 17.9, 71.9, 4.3, 0, 48.0, 0
27.2, 6.9, 195.8, 27890.2, 8.3, 341.7, 529.6, 14.2, 76.8, 3.8, 0, 57.5, 3
25.8, 7.8, 170.6, 21340.5, 6.1, 295.4, 537.3, 10.7, 59.1, 2.9, 0, 59.4, 2
24.6, 8.4, 216.0, 22041.9, 9.5, 355.2, 438.7, 19.3, 65.8, 4.2, 0, 45.8, 1
29.4, 7.1, 180.9, 12620.5, 7.1, 227.9, 524.1, 15.6, 90.4, 4.8, 0, 53.3, 4
26.9, 7.6, 195.7, 19811.3, 6.8, 361.9, 432.2, 11.8, 45.0, 3.7, 0, 54.1, 0
23.9, 7.9, 179.2, 17992.6, 7.4, 336.2, 541.9, 14.9, 85.3, 3.2, 0, 51.6, 2
27.8, 8.2, 212.5, 22360.9, 7.9, 371.6, 556.2, 17.5, 95.7, 4.5, 0, 54.9, 3
25.2, 7.0, 187.7, 21011.5, 6.5, 348.4, 460.7, 13.5, 70.4, 2.5, 0, 50.4, 4
27.7, 6.8, 196.5, 20175.2, 6.9, 373.3, 489.9, 14.7, 78.5, 3.1, 0, 52.7, 1
24.8, 8.3, 224.4, 22416.7, 7.3, 352.5, 508.7, 14.6, 72.3, 3.0, 0, 54.5, 2
26.5, 7.1, 212.8, 20160.2, 7.6, 348.5, 511.3, 15.2, 89.6, 4.1, 0, 57.2, 3
24.9, 7.5, 195.6, 19348.6, 6.9, 327.1, 451.2, 11.3, 61.8, 2.9, 0, 49.6, 2
28.3, 7.8, 228.3, 23345.1, 8.2, 389.7, 577.4, 18.1, 93.2, 4.6, 0, 58.9, 4
25.7, 6.9, 180.1, 20652.3, 7.1, 346.9, 485.6, 12.7, 64.5, 3.2, 0, 52.4, 0
27.1, 8.2, 219.4, 21581.5, 8.0, 367.8, 544.9, 16.9, 78.7, 3.9, 0, 55.8, 3
25.3, 7.3, 198.9, 19480.0, 7.0, 326.4, 446.3, 13.1, 66.7, 2.8, 0, 50.8, 1
28.7, 7.7, 231.7, 23768.9, 8.3, 392.4, 593.6, 18.7, 95.8, 4.8, 0, 59.5, 0
24.4, 7.6, 191.4, 18630.7, 6.7, 321.6, 431.9, 11.6, 59.2, 2.7, 0, 49.2, 4
26.8, 6.8, 176.5, 21255.6, 7.2, 341.5, 496.2, 14.5, 72.1, 3.5, 0, 54.3, 2
29.1, 7.9, 244.2, 24790.3, 8.5, 408.6, 624.3, 20.2, 102.4, 5.0, 0, 61.7, 3
27.5, 7.2, 206.1, 22276.5, 7.7, 361.3, 540.2, 16.3, 85.9, 4.2, 0, 56.5, 1
25.1, 7.4, 202.3, 19915.2, 6.8, 351.1, 508.1, 13.9, 68.6, 3.3, 0, 51.2, 2
